公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
1xzkino,國泰世華商業銀行股份有限公司_人力資源部,銀行業,金融服務業,9000人,695億
ad0nzp4,統一超商股份有限公司,百貨相關業,零售服務業,8775人,暫不提供
5lwuqew,裕隆集團_格上汽車租賃股份有限公司,運輸工具設備租賃業,汽車租賃服務,650人,7億2000萬元
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
1a2x6blafo,烽泰科技有限公司,其他金融及輔助業,其他金融及輔助業,105人,暫不提供
1a2x6bilhz,伊雲谷數位科技股份有限公司,網際網路相關業,雲端運算服務專家,300人,8億
9lqkboo,遠見天下文化出版股份有限公司,雜誌／期刊出版業,雜誌／圖書出版 ,300人,暫不提供
1a2x6bl2oi,雨林新零售股份有限公司,網際網路相關業,電子商務運營商,150人,1億3900萬元
wjct48g,國泰金控_國泰金融控股股份有限公司,金融控股業,金融證券保險相關業,400人,1200億
1a2x6bk6fu,干城數碼有限公司,電腦軟體服務業,資訊軟體顧問業 - 軟體及網路相關業 - 電腦系統整合服務業,暫不提供,暫不提供
ckkyqvc,富邦媒體科技股份有限公司(富邦momo),百貨相關業,電視購物/網路購物/型錄購物,2400人,暫不提供
1a2x6bjlcp,科萊博瑞科技有限公司,電腦軟體服務業,開發及維護大型跨國網站,130人,暫不提供
13xn0qy0,安泰商業銀行股份有限公司,銀行業,金融服務業,1500人,200億
wi4quiw,迅得機械股份有限公司,電力機械器材製造修配業,自動化機器設備業,800人,6億300萬元
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
1a2x6bkvw7,聯合智網股份有限公司,網際網路相關業,電子商務服務/品牌營銷/數據整合及分析,250人,2億5000萬元
1quaxzk,聯合報股份有限公司,其他出版業,報紙廣告出版業,2295人,暫不提供
wifkjug,亞太電信股份有限公司,電信相關業,電信科技服務業,暫不提供,429億823萬元
ck3t17s,OK_忠訓國際股份有限公司,其他金融及輔助業,其他金融及輔助業,170人,2350萬元
13qu7sqo,永豐商業銀行股份有限公司,銀行業,金融,暫不提供,1000億
whlrnm8,明基電通股份有限公司,消費性電子產品製造業,消費性電子,1300人,38億5000萬元
1a2x6bk6bz,富盈數據股份有限公司,其它軟體及網路相關業,其它軟體及網路相關業,40人,1億
1a2x6bktpo,優聘資訊科技有限公司,人力仲介代徵,資訊服務業,暫不提供,暫不提供
13qu7sqo,永豐商業銀行股份有限公司,銀行業,金融,暫不提供,1000億
13qu7sqo,永豐商業銀行股份有限公司,銀行業,金融,暫不提供,1000億
1a2x6bktpo,優聘資訊科技有限公司,人力仲介代徵,資訊服務業,暫不提供,暫不提供
coo5hi0,煒晶科技股份有限公司,電腦軟體服務業,MIS及資訊軟體服務業,50人,6000萬元
1a2x6bkxph,伊諾科技有限公司,電腦系統整合服務業,遊戲軟體開發服務,120人,暫不提供
1a2x6bkvw7,聯合智網股份有限公司,網際網路相關業,電子商務服務/品牌營銷/數據整合及分析,250人,2億5000萬元
5lwuqew,裕隆集團_格上汽車租賃股份有限公司,運輸工具設備租賃業,汽車租賃服務,650人,7億2000萬元
1a2x6bkxph,伊諾科技有限公司,電腦系統整合服務業,遊戲軟體開發服務,120人,暫不提供
wilhgyw,玉山綜合證券股份有限公司,證券及期貨業,金融證券相關業務,560人,40億
a4hvxa0,天下雜誌股份有限公司,雜誌／期刊出版業,新聞媒體傳播,500人,暫不提供
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
1a2x6bi64q,上禾紡織有限公司,紡織成衣業,紡織業,50人,1200萬元
3eyww3c,新光合成纖維股份有限公司,人造纖維製造業,塑化業,2000人,230億
1a2x6bk6bz,富盈數據股份有限公司,其它軟體及網路相關業,其它軟體及網路相關業,40人,1億
154zie08,百一電子股份有限公司,通訊機械器材相關業,光電通信器材相關業,1258人,16億7738萬元
18jhu0k0,海悅廣告股份有限公司,不動產經營業,不動產代銷(房地產),320人,3億
2byd7nl,資策會_財團法人資訊工業策進會,電腦軟體服務業,資訊服務業,2000人,7億
b7ryzlk,朴蜜兒有限公司,其他商品批發業,其他商品批發業,暫不提供,500萬元
wifkjug,亞太電信股份有限公司,電信相關業,電信科技服務業,暫不提供,429億823萬元
1a2x6biqx9,台灣雪豹科技股份有限公司,其它軟體及網路相關業,手機軟體及網路相關業,60人,1000萬元
1a2x6bkf7m,愛酷智能科技股份有限公司,電子通訊/電腦週邊批發業,資訊業,60人,1億
1a2x6bk1k6,威聯網科技有限公司,網際網路相關業,網際網路相關業,7人,300萬元
1a2x6bkxph,伊諾科技有限公司,電腦系統整合服務業,遊戲軟體開發服務,120人,暫不提供
wilhgyw,玉山綜合證券股份有限公司,證券及期貨業,金融證券相關業務,560人,40億
5lwuqew,裕隆集團_格上汽車租賃股份有限公司,運輸工具設備租賃業,汽車租賃服務,650人,7億2000萬元
1a2x6bkpcc,牧陽能控股份有限公司,光電產業,太陽能發電系統ヽ沼氣生成與發電系統ヽ空氣源熱泵系統ヽ能源監控系統與綠色能源系統整合工程之開發ヽ設計ヽ監造ヽ建置ヽ保養與維運等,27人,8282萬元
am935lk,永豐金證券股份有限公司,證券及期貨業,金融證券業,2100人,162億
10wkoo2w,中華系統整合股份有限公司,電腦軟體服務業,資訊服務業,320人,6億
1a2x6bi80a,GIS-KY(6456)業成集團_英特盛科技股份有限公司,光電產業,電子相關製造業,暫不提供,暫不提供
1quaxzk,聯合報股份有限公司,其他出版業,報紙廣告出版業,2295人,暫不提供
fsx8rcw,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,醫院,醫療業,3200人,暫不提供
9i3bc5c,臺灣電視事業股份有限公司,電視業,電視業,525人,28億
1a2x6bk6fu,干城數碼有限公司,電腦軟體服務業,資訊軟體顧問業 - 軟體及網路相關業 - 電腦系統整合服務業,暫不提供,暫不提供
5lwuqew,裕隆集團_格上汽車租賃股份有限公司,運輸工具設備租賃業,汽車租賃服務,650人,7億2000萬元
13yi61gg,東雅電子股份有限公司,消費性電子產品製造業,製造業,暫不提供,暫不提供
1a2x6bio5g,91APP_九易宇軒股份有限公司,網際網路相關業,全球品牌「新零售」浪潮掀起，消費場景重新定義，面對新市場環境與互聯網高速演進，許多零售品牌甚至大型實體門市被迫快速數位轉型。新零售時代，聚焦趨勢放眼未來，91APP以台灣為起點，協助零售品牌全面升級。,400人,2億
1a2x6bkzzz,安智聯科技有限公司,電腦軟體服務業,資訊軟體服務業,40人,500萬元
15cfnyk0,竑騰科技股份有限公司,半導體製造業,半導體IC封裝設備製造,80人,8500萬元
am935lk,永豐金證券股份有限公司,證券及期貨業,金融證券業,2100人,162億
wiedfdk,台灣之星電信股份有限公司,電信相關業,電信業,暫不提供,545億6572萬元
4bj3ik0,旭海國際科技股份有限公司,網際網路相關業,網際網路資訊相關業、旅遊及生活娛樂整合行銷,100人,1億2000萬元
13qu7sqo,永豐商業銀行股份有限公司,銀行業,金融,暫不提供,1000億
612hgj4,華聯生物科技股份有限公司,生化科技研發業,生物晶片 (DNA Microarray) 的設計、研發、生產與試劑、實驗服務銷售,88人,5億2800萬元
1a2x6bi2px,艾得基客行銷顧問股份有限公司,工商顧問服務業,網路行銷顧問,130人,暫不提供
1a2x6bk6bz,富盈數據股份有限公司,其它軟體及網路相關業,其它軟體及網路相關業,40人,1億
wj720zk,全球人壽保險股份有限公司_總公司,人身保險業,人壽保險業,3000人,64億3500萬元
1a2x6bj0h2,精英人力資源股份有限公司,人力仲介代徵,就業服務、顧問諮詢,暫不提供,3000萬元
5nad1zs,"大江生醫股份有限公司(TCI CO., Ltd)",生化科技研發業,保健食品生化科技業、保養品生化科技業、生物技術整合設計,1150人,11億8700萬元
wjct48g,國泰金控_國泰金融控股股份有限公司,金融控股業,金融證券保險相關業,400人,1200億
10wkoo2w,中華系統整合股份有限公司,電腦軟體服務業,資訊服務業,320人,6億
10wkoo2w,中華系統整合股份有限公司,電腦軟體服務業,資訊服務業,320人,6億
13qu1mip,遠東國際商業銀行股份有限公司,銀行業,金融業,2476人,450億
