公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
b8gl75c,歐立威科技股份有限公司,電腦軟體服務業,軟體代理及服務業,35人,6000萬元
b8gl75c,歐立威科技股份有限公司,電腦軟體服務業,軟體代理及服務業,35人,6000萬元
1a2x6bjf44,皮克網路有限公司,網際網路相關業,網際網路相關業,暫不提供,暫不提供
1a2x6bk9dy,法國巴黎蜜達絲醫美生醫(台灣)_蜜達絲生技有限公司,化妝品製造業,化妝品製造,暫不提供,暫不提供
1a2x6bj31u,美商視龍有限公司台灣分公司,網際網路相關業,網際網路相關業,110人,100萬元
1a2x6biclh,瑄品股份有限公司,電腦系統整合服務業,國內大型的全方位資訊公司，專業使我們跟客戶更緊密，具備AI團隊、軟體開發、UI/UX設計以及資安團隊．,130人,5000萬元
1a2x6bl5f2,AHGTECH BUSINESS PROCESS OUTSOURCING,綜合商品批發代理業,綜合商品批發代理業、投資、線上娛樂,2000人,1億500萬元
13uzkigw,皮托科技股份有限公司,電腦系統整合服務業,知識型產業，結合理論與軟體平台提供客戶軟體使用、安裝、訓練、顧問服務。專業與學理並進，成為先進知識供應者，兼具學習性和科技性不會被趨勢淘汰,30人,暫不提供
fuu0th4,億光電子工業股份有限公司,光電產業,光電產業,2000人,50億
233rv1s,鴻海精密工業股份有限公司,消費性電子產品製造業,科技服務相關業,暫不提供,1386億
1a2x6bkjk0,博賢智能科技有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
ap7rv14,德律科技股份有限公司,電腦及其週邊設備製造業,電子產業的最佳品質伙伴-自動測試設備 (自有品牌，行銷全球),750人,23億6000萬元
233rv1s,鴻海精密工業股份有限公司,消費性電子產品製造業,科技服務相關業,暫不提供,1386億
4cgulm0,致茂電子股份有限公司,其他電子零組件相關業,以自有品牌”Chroma”行銷全球，為精密電子量測儀器、自動化測試系統、智慧製造系統與全方位量測&自動化Turnkey解決方案領導廠商。,1700人,42億
bj3cdaw,裕隆集團總管理處_裕隆經管企業股份有限公司,工商顧問服務業,工商顧問服務業,250人,1億
agf7nww,永慶房產集團_永慶房屋仲介股份有限公司,不動產經營業,不動產相關業,3000人,暫不提供
5vox8tk,群創光電股份有限公司,光電產業,光電產業(TFT-LCD研發製造),56000人,995億
233rv1s,鴻海精密工業股份有限公司,消費性電子產品製造業,科技服務相關業,暫不提供,1386億
1a2x6bi2n1,台灣奈米碳素股份有限公司,化學原料製造業,化學原料製造業,暫不提供,2億6000萬元
5msc8qo,台灣新光保全股份有限公司,保全樓管相關業,生活安心產業,1600人,38億
1a2x6bkk7h,BitAsset_亞太易安特科技有限公司,其它軟體及網路相關業,區塊鍊科技應用,30人,暫不提供
wiulok0,日盛金融控股股份有限公司,金融控股業,金融控股公司,3500人,309億
233rv1s,鴻海精密工業股份有限公司,消費性電子產品製造業,科技服務相關業,暫不提供,1386億
1a2x6bj92p,炬識科技股份有限公司,其它軟體及網路相關業,資訊業,25人,930萬元
1a2x6bishn,昱冠資訊股份有限公司,電腦軟體服務業,電腦軟體,暫不提供,1億5000萬元
10whcigo,新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),金融控股業,金融業,20000人,1226億400萬元
