公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
1a2x6bj6wg,立樂高園股份有限公司,人力仲介代徵,人力介紹/管理顧問,暫不提供,500萬元
d92vp28,台灣樂天市場股份有限公司,網際網路相關業,網際網路相關業,300人,35億7200萬元
1a2x6bl3mp,樂天國際商業銀行股份有限公司,銀行業,金融相關產業,暫不提供,暫不提供
d21bcow,花旗(台灣) 商業銀行股份有限公司,銀行業,金融服務業,暫不提供,暫不提供
18rbx5fk,宇匯知識科技股份有限公司,電腦軟體服務業,B20 軟體相關業,105人,2億
13hxbiso,裕鐵企業股份有限公司,鋼鐵基本工業,金屬製造業,500人,43億1000萬元
wfc9y6w,普鴻資訊股份有限公司,電腦軟體服務業,資訊服務業,150人,2億
1a2x6bjyjc,Nexperia_安世半導體股份有限公司,半導體製造業,半導體製造業,暫不提供,暫不提供
60p1xw8,theLOOP inc樂譜文創_如平實業股份有限公司,餐館業,餐飲娛樂服務業,250人,暫不提供
7e11q60,復華證券投資信託股份有限公司,證券及期貨業,A-4金融証券產險相關業,390人,6億
7n5keyw,台灣江森自控股份有限公司,機械器具批發業,冷凍空調（約克York，Frick）設備、控制安防系統、消防系統銷售及維修服務,100人,8000萬元
wdapdfc,霖園關係企業_神坊資訊股份有限公司,網際網路相關業,電子商務營運與網路電信加值服務,130人,4億9999萬元
1a2x6bje7i,雷力科技股份有限公司,電腦系統整合服務業,電腦系統整合服務業,暫不提供,1200萬元
13quahyo,玉山銀行_玉山商業銀行股份有限公司,銀行業,銀行、證券、投顧、等金融業務,8000人,800億100萬元
1a2x6bl08x,Qualcomm Semiconductor Corporation_高通半導體有限公司,IC設計相關業,IC設計業,暫不提供,暫不提供
1a2x6bk9u1,奧義智慧科技股份有限公司,暫不提供,軟體業,65人,1億
1a2x6blcwo,脈致有限公司,工商顧問服務業,工商顧問/研發設計相關,暫不提供,暫不提供
10wzhfv4,荷蘭商臺灣戴爾股份有限公司台灣分公司,電腦及其週邊設備製造業,科技業,1200人,500萬元
1a2x6bjvbi,柏媒網絡科技有限公司,網際網路相關業,BMG 台灣 是一間跨越全球的全端數位行銷公司、數位媒體廣告的專家。 我們不僅專注於商業服務，還包括了數位營銷和創新服務。我們的目標是創建顧客優質的客製化體驗。,70人,110萬元
1a2x6bkj5x,(ASML)台灣艾司摩爾科技股份有限公司,半導體製造業,半導體設備業,2500人,18億8000萬元
1a2x6bjfej,17LIVE_英屬維京群島商藝啟股份有限公司臺灣分公司,網際網路相關業,網際網路相關業,350人,3億5450萬元
9i3bc5c,臺灣電視事業股份有限公司,電視業,電視業,525人,28億
afph47c,四零四科技股份有限公司,電腦系統整合服務業,電腦暨網路通訊業,1300人,20億
1a2x6bkgdc,美商泰優股份有限公司台灣分公司,網際網路相關業,網際網路相關業,200人,暫不提供
1a2x6bkgdc,美商泰優股份有限公司台灣分公司,網際網路相關業,網際網路相關業,200人,暫不提供
1a2x6bl3ek,LINE Bank_連線商業銀行股份有限公司,網際網路相關業,金融業,暫不提供,暫不提供
12qbr0wg,IKEA_宜家家居股份有限公司,建材／傢俱零售業,零售業,1900人,1億7100萬元
7e11q60,復華證券投資信託股份有限公司,證券及期貨業,A-4金融証券產險相關業,390人,6億
1a2x6biix6,MMA PAN ASIA FUND_美商恩暐有限公司,其他金融及輔助業,其他金融及輔助業,暫不提供,暫不提供
1xzkino,國泰世華商業銀行股份有限公司_人力資源部,銀行業,金融服務業,9000人,695億
e8nd7v4,華納國際音樂股份有限公司,廣播電視節目供應業,音樂製作發行,暫不提供,暫不提供
1a2x6bjfej,17LIVE_英屬維京群島商藝啟股份有限公司臺灣分公司,網際網路相關業,網際網路相關業,350人,3億5450萬元
1a2x6bjfej,17LIVE_英屬維京群島商藝啟股份有限公司臺灣分公司,網際網路相關業,網際網路相關業,350人,3億5450萬元
1a2x6bjhmf,好會飛網路股份有限公司,網際網路相關業,電子商務相關產業,65人,6500萬元
614ykv4,商智資訊股份有限公司,電腦軟體服務業,資訊系統，金融業作業系統平台、軟體相關業,90人,2980萬元
d1x6jfs,Dialog Semiconductor_德商戴樂格半導體有限公司台灣分公司,半導體製造業,Fabless company of Power Management IC,250人,暫不提供
1a2x6bizrb,新加坡商立可人事顧問有限公司台灣分公司,人力仲介代徵,招募服務，中高階獵才服務、薪資管理服務,暫不提供,500萬元
b73czrk,凱鈿行動科技股份有限公司,網際網路相關業,資訊軟體與服務類,150人,2億
1a2x6bl3ek,LINE Bank_連線商業銀行股份有限公司,網際網路相關業,金融業,暫不提供,暫不提供
atiuxrs,ViewSonic Corporation_優派國際股份有限公司,電腦系統整合服務業,"電腦硬體, 軟體與整合服務; 消費電子產品及進出口貿易業務",1000人,暫不提供
1a2x6bkofs,將來商業銀行股份有限公司,銀行業,銀行業,暫不提供,100億
13tnktpk,美商摩根大通銀行股份有限公司台北分公司,銀行業,A-4金融証券產險相關業,150人,1億5000萬元
1a2x6bkb9x,希格斯資訊科技有限公司,電腦軟體服務業,電腦軟體服務業、網際網路相關業,暫不提供,暫不提供
9kgoqw8,宏碁股份有限公司,電腦及其週邊設備製造業,資通訊產業：硬體+軟體+服務,7000人,280億
1a2x6bkayh,台灣雲保科技有限公司,其它軟體及網路相關業,資訊軟體服務/管理顧問類,暫不提供,100萬元
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
1a2x6bi3wg,香港商聯寶電腦有限公司台灣分公司,電腦及其週邊設備製造業,電腦及其週邊設備製造業,650人,88萬元
1a2x6bilhz,伊雲谷數位科技股份有限公司,網際網路相關業,雲端運算服務專家,300人,8億
